"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEG7",84368.4804204065,82367.2128168347,79154.6832858373,76543.1524179556,75626.9581530603,75363.967267761,73093.0715725152,68561.1366166811,64063.6018172076,61399.0343772241,60518.5777166273,61832.2336102192,65823.3305713497,NA,70057.1377937446,72903.4786859484,73595.7959959478,72213.4668983956,70277.1116491921,69253.3219376809,68810.1714519505,68541.1426845937,69630.833209131,71486.5461985841,73353.2816639011,73300.6373441518,70782.9132020154,68542.3219874237,67712.5467091468,67264.8733366519
"AEG8",80825.8388682531,80891.3231881382,80160.8588848416,78141.2754800958,74898.4593872804,71556.8467618592,69590.5324235827,68410.4890959853,66254.3460363301,63002.5445944216,60324.2089186173,59615.1100441771,60600.2221071252,NA,60683.6920513651,58350.4351819703,55730.4890910529,54306.002883935,54471.9580045878,55309.9502874853,57133.2432483722,60163.7792120066,63973.6691118907,67573.4320689036,70574.4876026191,72095.2738054842,72566.4076758945,73570.8917525713,75941.0703307618,78805.6017162852
"AEG9",78942.8134296147,77077.7880918094,73602.0277624381,68656.4914214338,66450.2533592366,68648.6141992272,72023.6839798628,73086.64523831,70649.1428637804,65837.4005866662,61531.9677132838,60475.9561642727,62439.4575318343,NA,65373.836346742,67075.3057395387,67750.5382163357,68538.7890716128,69332.8286771213,68411.037026854,66091.8728526906,64516.8394470336,63467.4765370793,60086.7954733475,56702.9992934515,55402.8187550301,56184.0359060542,57146.9075277762,56997.236434212,55990.387115327
"AEW20",48504.7846961019,48430.3818032998,49718.7901902918,51696.8099524935,52134.2848423264,49900.072548698,46173.9146020399,44264.8000558666,45614.6557878076,49484.3444217563,54271.3289389833,58011.8072286898,59871.0933052548,NA,60035.1470290889,59354.4220530899,58073.5166475952,55804.7242182071,53445.8248611191,53246.1899783975,55301.151998903,57139.8509529639,57187.4972413067,55369.294296021,52457.3639973794,49750.6704540609,47916.1198195145,47689.3617379425,48765.9195046297,49975.5095846258
"AEW21",48630.6714654833,49292.4327641751,49995.8968490823,49567.6757250002,47160.5391337183,44450.895159865,44120.2396052554,47279.2060600586,52212.0263313113,57000.1185994084,61291.0868730791,63682.3716068392,64028.1250798838,NA,62544.8489248623,60383.8383691279,58123.52028616,56163.4830821828,54589.7752290459,53740.8116834007,54321.2202975188,56184.2147703275,57074.330276139,55160.1043112336,51672.3767783754,49168.576752536,48813.2746194324,49771.5433085305,50328.2065098665,49888.2094180349
"AEW22",53192.2709894202,53707.6089077936,54223.0741644827,53473.8468227552,51000.0411201929,48464.2769701003,47482.8952996339,47845.0443055691,49276.9721899096,52094.4964675109,55563.9845855969,58345.2154786937,60014.5221814139,NA,60332.5635366435,59457.4164046431,58508.0367138277,57686.8328277364,57161.1143537681,56964.6964454656,57301.2955881655,57243.0569607972,56661.6943041169,55715.175275949,54407.2904261678,52982.540456089,51603.0668396489,50854.9568294206,50745.1470434305,50860.3023396699
"AEW23",47498.9853543069,44388.1188837853,41544.2828084522,39925.6123137111,40390.4907123691,42185.8944393513,43831.453501129,45353.4836253474,47898.3503056986,52863.4023382133,58791.0303928841,62927.1015212517,64071.7571163707,NA,64046.1945078476,64841.2835256659,65375.0745878509,64193.1659707803,62024.6295218014,59807.2837959434,58068.7527268482,56735.4378861142,56216.492550243,56493.9166981037,56133.3047094738,54250.5341894206,51925.4478924967,51134.6996355125,52471.7581007977,54771.0816704836
"AEW24",47962.3344223873,49293.6315888678,51066.5016326855,51759.0251462879,49944.4659133186,47214.1421937017,45386.5591189176,45545.3597935672,47708.1293383396,52685.8502595772,59390.6306470668,64468.2245492997,66142.8958009462,NA,65485.6988579235,64233.4346794123,62576.3843502601,60628.3764634388,58534.9768944173,56665.7597808708,56034.5642626783,56830.6989663432,57681.0260079508,56734.5216531964,53389.3445152242,48858.5170043181,45528.2347771343,44752.7793648138,45386.6197851579,45930.2869398986
"AEW25",47061.0634579989,46519.7834221186,45894.810964013,45360.2115000517,44927.9845737399,44442.9095929242,44414.3600847663,46271.2146724496,49785.1790527647,54384.5887872031,58447.0263205517,60308.1321605049,60037.8533251851,NA,58809.4013984058,58239.1435536915,59451.2243189189,61613.0237311895,63334.3854225497,63529.2980864182,62593.3451701909,61383.636148612,60757.749800049,59839.9196404128,56842.9946554262,52406.4590843269,48612.9010517708,47019.6924891712,47199.5829294657,47959.4313218221
"AEW26",46977.1484122488,46724.9122907726,47835.1540916396,49799.194546763,50296.6667589028,48853.6308002564,47112.5872056687,47308.4662481609,49514.4593692668,53482.2859433979,57854.7220662084,61465.0861629695,63803.6290253169,NA,64639.8579675438,63541.1808370176,61080.1251721241,58697.3640388694,57525.060127399,56828.3983973245,55587.7931058082,53959.3128431352,53230.2179512721,53548.7935773659,53658.4305631539,52383.3869621047,50317.6519156801,49077.0680907714,49354.2850425719,50489.0303739155
